nohup: ignoring input
0.3.1
Starting training
epoch: 1
[epoch:001, iter:00118] Loss: 1.837 | Acc: 31.285% | time: 38.48s 
[epoch:001, iter:00119] Loss: 1.835 | Acc: 31.333% | time: 38.80s 
[epoch:001, iter:00120] Loss: 1.833 | Acc: 31.419% | time: 39.12s 
[epoch:001, iter:00121] Loss: 1.833 | Acc: 31.448% | time: 39.43s 
[epoch:001, iter:00122] Loss: 1.831 | Acc: 31.519% | time: 39.75s 
[epoch:001, iter:00123] Loss: 1.829 | Acc: 31.610% | time: 40.07s 
[epoch:001, iter:00124] Loss: 1.828 | Acc: 31.628% | time: 40.38s 
[epoch:001, iter:00125] Loss: 1.826 | Acc: 31.721% | time: 40.70s 
[epoch:001, iter:00126] Loss: 1.825 | Acc: 31.775% | time: 41.01s 
[epoch:001, iter:00127] Loss: 1.823 | Acc: 31.832% | time: 41.33s 
[epoch:001, iter:00128] Loss: 1.819 | Acc: 31.982% | time: 41.65s 
[epoch:001, iter:00129] Loss: 1.817 | Acc: 32.062% | time: 41.96s 
[epoch:001, iter:00130] Loss: 1.815 | Acc: 32.139% | time: 42.28s 
[epoch:001, iter:00131] Loss: 1.813 | Acc: 32.252% | time: 42.59s 
[epoch:001, iter:00132] Loss: 1.810 | Acc: 32.335% | time: 42.91s 
[epoch:001, iter:00133] Loss: 1.809 | Acc: 32.378% | time: 43.22s 
[epoch:001, iter:00134] Loss: 1.807 | Acc: 32.459% | time: 43.54s 
[epoch:001, iter:00135] Loss: 1.806 | Acc: 32.512% | time: 43.86s 
[epoch:001, iter:00136] Loss: 1.804 | Acc: 32.571% | time: 44.18s 
[epoch:001, iter:00137] Loss: 1.804 | Acc: 32.569% | time: 44.50s 
[epoch:001, iter:00138] Loss: 1.802 | Acc: 32.643% | time: 44.81s 
[epoch:001, iter:00139] Loss: 1.801 | Acc: 32.693% | time: 45.13s 
[epoch:001, iter:00140] Loss: 1.799 | Acc: 32.786% | time: 45.45s 
[epoch:001, iter:00141] Loss: 1.797 | Acc: 32.849% | time: 45.76s 
[epoch:001, iter:00142] Loss: 1.795 | Acc: 32.934% | time: 46.08s 
[epoch:001, iter:00143] Loss: 1.793 | Acc: 32.995% | time: 46.39s 
[epoch:001, iter:00144] Loss: 1.792 | Acc: 33.048% | time: 46.71s 
[epoch:001, iter:00145] Loss: 1.790 | Acc: 33.161% | time: 47.03s 
[epoch:001, iter:00146] Loss: 1.788 | Acc: 33.233% | time: 47.34s 
[epoch:001, iter:00147] Loss: 1.786 | Acc: 33.305% | time: 47.66s 
[epoch:001, iter:00148] Loss: 1.785 | Acc: 33.365% | time: 47.98s 
[epoch:001, iter:00149] Loss: 1.783 | Acc: 33.431% | time: 48.29s 
[epoch:001, iter:00150] Loss: 1.782 | Acc: 33.483% | time: 48.61s 
[epoch:001, iter:00151] Loss: 1.780 | Acc: 33.520% | time: 48.92s 
[epoch:001, iter:00152] Loss: 1.779 | Acc: 33.583% | time: 49.24s 
[epoch:001, iter:00153] Loss: 1.777 | Acc: 33.657% | time: 49.55s 
[epoch:001, iter:00154] Loss: 1.775 | Acc: 33.699% | time: 49.87s 
[epoch:001, iter:00155] Loss: 1.774 | Acc: 33.740% | time: 50.19s 
[epoch:001, iter:00156] Loss: 1.771 | Acc: 33.814% | time: 50.50s 
[epoch:001, iter:00157] Loss: 1.769 | Acc: 33.930% | time: 50.82s 
[epoch:001, iter:00158] Loss: 1.767 | Acc: 34.039% | time: 51.13s 
[epoch:001, iter:00159] Loss: 1.764 | Acc: 34.116% | time: 51.45s 
