nohup: ignoring input
0.3.1
Starting training
epoch: 1
[epoch:001, iter:00126] Loss: 2.039 | Acc: 25.645% | time: 15.92s 
[epoch:001, iter:00127] Loss: 2.037 | Acc: 25.677% | time: 16.04s 
[epoch:001, iter:00128] Loss: 2.034 | Acc: 25.720% | time: 16.15s 
[epoch:001, iter:00129] Loss: 2.032 | Acc: 25.787% | time: 16.27s 
[epoch:001, iter:00130] Loss: 2.031 | Acc: 25.829% | time: 16.39s 
[epoch:001, iter:00131] Loss: 2.031 | Acc: 25.847% | time: 16.50s 
[epoch:001, iter:00132] Loss: 2.030 | Acc: 25.876% | time: 16.62s 
[epoch:001, iter:00133] Loss: 2.028 | Acc: 25.916% | time: 16.73s 
[epoch:001, iter:00134] Loss: 2.026 | Acc: 25.898% | time: 16.85s 
[epoch:001, iter:00135] Loss: 2.024 | Acc: 26.007% | time: 16.96s 
[epoch:001, iter:00136] Loss: 2.023 | Acc: 26.057% | time: 17.08s 
[epoch:001, iter:00137] Loss: 2.020 | Acc: 26.141% | time: 17.19s 
[epoch:001, iter:00138] Loss: 2.019 | Acc: 26.144% | time: 17.31s 
[epoch:001, iter:00139] Loss: 2.018 | Acc: 26.135% | time: 17.42s 
[epoch:001, iter:00140] Loss: 2.016 | Acc: 26.239% | time: 17.54s 
[epoch:001, iter:00141] Loss: 2.015 | Acc: 26.330% | time: 17.65s 
[epoch:001, iter:00142] Loss: 2.014 | Acc: 26.408% | time: 17.77s 
[epoch:001, iter:00143] Loss: 2.012 | Acc: 26.475% | time: 17.88s 
[epoch:001, iter:00144] Loss: 2.010 | Acc: 26.541% | time: 18.00s 
[epoch:001, iter:00145] Loss: 2.008 | Acc: 26.606% | time: 18.11s 
[epoch:001, iter:00146] Loss: 2.006 | Acc: 26.659% | time: 18.23s 
[epoch:001, iter:00147] Loss: 2.006 | Acc: 26.648% | time: 18.35s 
[epoch:001, iter:00148] Loss: 2.004 | Acc: 26.700% | time: 18.46s 
[epoch:001, iter:00149] Loss: 2.002 | Acc: 26.720% | time: 18.58s 
[epoch:001, iter:00150] Loss: 2.002 | Acc: 26.750% | time: 18.70s 
[epoch:001, iter:00151] Loss: 2.001 | Acc: 26.780% | time: 18.81s 
[epoch:001, iter:00152] Loss: 1.999 | Acc: 26.850% | time: 18.93s 
[epoch:001, iter:00153] Loss: 1.997 | Acc: 26.879% | time: 19.04s 
[epoch:001, iter:00154] Loss: 1.995 | Acc: 26.938% | time: 19.16s 
[epoch:001, iter:00155] Loss: 1.993 | Acc: 27.026% | time: 19.28s 
[epoch:001, iter:00156] Loss: 1.991 | Acc: 27.073% | time: 19.39s 
[epoch:001, iter:00157] Loss: 1.991 | Acc: 27.040% | time: 19.51s 
[epoch:001, iter:00158] Loss: 1.989 | Acc: 27.087% | time: 19.62s 
[epoch:001, iter:00159] Loss: 1.987 | Acc: 27.152% | time: 19.74s 
[epoch:001, iter:00160] Loss: 1.986 | Acc: 27.236% | time: 19.86s 
[epoch:001, iter:00161] Loss: 1.984 | Acc: 27.290% | time: 19.97s 
[epoch:001, iter:00162] Loss: 1.984 | Acc: 27.334% | time: 20.09s 
[epoch:001, iter:00163] Loss: 1.983 | Acc: 27.377% | time: 20.20s 
[epoch:001, iter:00164] Loss: 1.983 | Acc: 27.382% | time: 20.32s 
[epoch:001, iter:00165] Loss: 1.981 | Acc: 27.415% | time: 20.43s 
[epoch:001, iter:00166] Loss: 1.980 | Acc: 27.447% | time: 20.55s 
[epoch:001, iter:00167] Loss: 1.980 | Acc: 27.433% | time: 20.66s 
[epoch:001, iter:00168] Loss: 1.978 | Acc: 27.493% | time: 20.78s 
[epoch:001, iter:00169] Loss: 1.977 | Acc: 27.496% | time: 20.89s 
[epoch:001, iter:00170] Loss: 1.975 | Acc: 27.546% | time: 21.01s 
[epoch:001, iter:00171] Loss: 1.974 | Acc: 27.595% | time: 21.12s 
[epoch:001, iter:00172] Loss: 1.972 | Acc: 27.671% | time: 21.24s 
[epoch:001, iter:00173] Loss: 1.970 | Acc: 27.728% | time: 21.36s 
[epoch:001, iter:00174] Loss: 1.968 | Acc: 27.775% | time: 21.47s 
[epoch:001, iter:00175] Loss: 1.966 | Acc: 27.866% | time: 21.59s 
[epoch:001, iter:00176] Loss: 1.965 | Acc: 27.850% | time: 21.71s 
[epoch:001, iter:00177] Loss: 1.963 | Acc: 27.931% | time: 21.82s 
[epoch:001, iter:00178] Loss: 1.961 | Acc: 27.993% | time: 21.94s 
[epoch:001, iter:00179] Loss: 1.959 | Acc: 28.090% | time: 22.05s 
[epoch:001, iter:00180] Loss: 1.958 | Acc: 28.116% | time: 22.17s 
[epoch:001, iter:00181] Loss: 1.955 | Acc: 28.211% | time: 22.28s 
[epoch:001, iter:00182] Loss: 1.954 | Acc: 28.228% | time: 22.40s 
[epoch:001, iter:00183] Loss: 1.953 | Acc: 28.321% | time: 22.51s 
[epoch:001, iter:00184] Loss: 1.950 | Acc: 28.405% | time: 22.63s 
[epoch:001, iter:00185] Loss: 1.948 | Acc: 28.514% | time: 22.75s 
[epoch:001, iter:00186] Loss: 1.946 | Acc: 28.587% | time: 22.86s 
[epoch:001, iter:00187] Loss: 1.944 | Acc: 28.651% | time: 22.98s 
[epoch:001, iter:00188] Loss: 1.942 | Acc: 28.715% | time: 23.09s 
[epoch:001, iter:00189] Loss: 1.941 | Acc: 28.753% | time: 23.21s 
[epoch:001, iter:00190] Loss: 1.939 | Acc: 28.816% | time: 23.32s 
[epoch:001, iter:00191] Loss: 1.937 | Acc: 28.886% | time: 23.44s 
[epoch:001, iter:00192] Loss: 1.935 | Acc: 28.963% | time: 23.56s 
[epoch:001, iter:00193] Loss: 1.934 | Acc: 28.999% | time: 23.67s 
[epoch:001, iter:00194] Loss: 1.933 | Acc: 29.003% | time: 23.79s 
[epoch:001, iter:00195] Loss: 1.930 | Acc: 29.103% | time: 23.90s 
[epoch:001, iter:00196] Loss: 1.930 | Acc: 29.121% | time: 24.02s 
[epoch:001, iter:00197] Loss: 1.929 | Acc: 29.132% | time: 24.13s 
[epoch:001, iter:00198] Loss: 1.927 | Acc: 29.175% | time: 24.25s 
[epoch:001, iter:00199] Loss: 1.926 | Acc: 29.216% | time: 24.36s 
[epoch:001, iter:00200] Loss: 1.925 | Acc: 29.242% | time: 24.48s 
[epoch:001, iter:00201] Loss: 1.924 | Acc: 29.283% | time: 24.59s 
[epoch:001, iter:00202] Loss: 1.923 | Acc: 29.308% | time: 24.71s 
[epoch:001, iter:00203] Loss: 1.922 | Acc: 29.372% | time: 24.82s 
[epoch:001, iter:00204] Loss: 1.921 | Acc: 29.389% | time: 24.94s 
[epoch:001, iter:00205] Loss: 1.921 | Acc: 29.390% | time: 25.06s 
[epoch:001, iter:00206] Loss: 1.920 | Acc: 29.414% | time: 25.17s 
[epoch:001, iter:00207] Loss: 1.920 | Acc: 29.476% | time: 25.29s 
[epoch:001, iter:00208] Loss: 1.919 | Acc: 29.485% | time: 25.40s 
